Protein,Delta_RMSD_loss,Delta_Steric_loss,Delta_Angle_Dev_loss
TcChr07b01841.t1,-0.013,-11.026,0.002
TcChr07b01842.t1,-0.046,-7.663,0.006
TcChr07b01844.t1,-0.071,-28.541,0.008
TcChr07b01845.t1,-0.039,-7.73,0.003
TcChr07b01845.t2,-0.039,-7.74,0.003
TcChr07b01846.t1,-0.076,-2.338,0.007
TcChr07b01847.t1,-0.039,-5.436,0.004
TcChr07b01849.t1,-0.029,-11.928,0.006
TcChr07b01850.t1,-0.01,-12.518,0.006
TcChr07b01851.t1,-0.057,-0.051,0.008
TcChr07b01852.t1,-0.051,-0.186,0.007
TcChr07b01853.t1,-0.061,-2.158,0.008
TcChr07b01854.t1,-0.038,-4.022,0.003
TcChr07b01856.t1,-0.033,-1.444,0.006
TcChr07b01857.t1,-0.024,-6.041,0.003
TcChr07b01858.t1,-0.03,-2.77,0.003
TcChr07b01858.t2,-0.018,-5.542,0.004
TcChr07b01858.t3,-0.029,-2.802,0.003
TcChr07b01860.t1,-0.038,-5.343,0.01
TcChr07b01861.t1,-0.035,-6.931,0.003
TcChr07b01862.t1,-0.025,-15.728,0.004
TcChr07b01863.t1,-0.021,-10.312,0.002
TcChr07b01864.t1,-0.058,-4.774,0.01
TcChr07b01866.t1,-0.049,-2.87,0.006
TcChr07b01867.t1,-0.023,-3.849,0.001
TcChr07b01868.t1,-0.037,-1.145,0.005
TcChr07b01869.t1,-0.013,-9.84,0.003
TcChr07b01870.t1,-0.053,-1.499,0.004
TcChr07b01807.t1,-0.087,-1.799,0.014
TcChr07b01811.t1,-0.019,-13.2,0.004
TcChr07b01818.t1,-0.024,-5.562,0.002
TcChr07b01824.t1,-0.055,-3.829,0.009
TcChr07b01830.t1,-0.023,-9.94,0.002
TcChr07b01837.t1,-0.024,-1.932,0.002
TcChr07b01843.t1,-0.052,-11.512,0.004
TcChr07b01848.t1,-0.015,-17.179,0.004
TcChr07b01855.t1,-0.051,-7.719,0.007
TcChr07b01859.t1,-0.058,-0.057,0.008
TcChr07b01109.t1,-0.033,-5.016,0.002
TcChr07b01182.t2,-0.065,-0.097,0.004
TcChr07b01235.t1,-0.035,-2.411,0.003
TcChr07b01293.t1,-0.026,-4.097,0.002
TcChr07b01366.t1,-0.046,-29.71,0.005
TcChr07b01419.t2,-0.033,-4.167,0.002
TcChr07b01495.t1,-0.04,-4.79,0.002
TcChr07b01561.t1,-0.036,-31,0.003
TcChr07b01646.t1,-0.021,-5.246,0.003
TcChr07b01715.t1,-0.022,-21.679,0.002
TcChr07b01872.t1,-0.028,-2.057,0.001
TcChr07b01873.t1,-0.031,-8.866,0.002
TcChr07b01874.t1,-0.028,-2.502,0.001
TcChr07b01875.t1,-0.029,-4.475,0.002
TcChr07b01876.t1,-0.035,-6.708,0.002
TcChr07b01877.t1,-0.016,-9.278,0.002
TcChr07b01879.t1,-0.024,-6.644,0.002
TcChr07b01880.t1,-0.037,-3.486,0.002
TcChr07b01881.t1,-0.055,-3.2,0.009
TcChr07b01882.t1,-0.028,-4.802,0.003
TcChr07b01883.t1,-0.045,-4.216,0.014
TcChr07b01885.t1,-0.049,-2.643,0.01
TcChr07b01886.t1,-0.028,-9.137,0.002
TcChr07b01887.t1,-0.044,-2.65,0.01
TcChr07b01888.t1,-0.028,-8.285,0.002
TcChr07b01889.t1,-0.012,-23.427,0.003
TcChr07b01891.t1,-0.03,-6.68,0.002
TcChr07b01892.t1,-0.034,-4.577,0.002
TcChr07b01893.t1,-0.02,-6.867,0.003
TcChr07b01894.t1,-0.022,-5.8,0.005
TcChr07b01895.t1,-0.048,-3.924,0.004
TcChr07b01896.t1,-0.049,-2.153,0.004
TcChr07b01898.t1,-0.026,-3.026,0.002
TcChr07b01898.t2,-0.027,-2.923,0.002
TcChr07b01898.t3,-0.025,-3.083,0.002
TcChr07b01899.t1,-0.034,-5.117,0.002
TcChr07b01900.t1,-0.047,-3.184,0.004
TcChr07b01902.t1,-0.04,-3.662,0.003
TcChr07b01903.t1,-0.023,-9.453,0.002
TcChr07b01904.t1,-0.033,-4.329,0.002
TcChr07b01905.t1,-0.073,-3.384,0.01
TcChr07b01906.t1,-0.052,-4.4,0.005
TcChr07b01937.t1,-0.032,-2.329,0.002
TcChr07b01938.t1,-0.067,-0.757,0.009
TcChr07b01939.t1,-0.01,-18.69,0.003
TcChr07b01940.t1,-0.02,-11.851,0.003
TcChr07b01941.t1,-0.06,-17.603,0.005
TcChr07b01943.t1,-0.045,-1.429,0.003
TcChr07b01944.t1,-0.032,-6.022,0.003
TcChr07b01944.t2,-0.035,-3.162,0.003
TcChr07b01945.t1,-0.029,-4.809,0.002
TcChr07b01946.t1,-0.028,-4.851,0.002
TcChr07b01948.t1,-0.023,-13.707,0.003
TcChr07b01949.t1,-0.032,-7.714,0.003
TcChr07b01950.t1,-0.037,-1.273,0.005
TcChr07b01951.t1,-0.03,-28.372,0.004
TcChr07b01952.t1,-0.016,-3.358,0.01
TcChr07b01953.t1,-0.026,-25.367,0.004
TcChr07b01955.t1,-0.037,-7.28,0.002
TcChr07b01956.t1,-0.05,-5.036,0.003
TcChr07b01957.t1,-0.042,-1.327,0.003
TcChr07b01958.t1,-0.029,-4.662,0.002
TcChr07b01959.t1,-0.016,-14.774,0.005
TcChr07b01961.t1,-0.04,-0.7,0.003
TcChr07b01962.t1,-0.023,-13.576,0.001
TcChr07b01963.t1,-0.031,-0.883,0.003
TcChr07b01964.t1,-0.011,-7.025,0.002
TcChr07b01965.t1,-0.02,-5.631,0.003
TcChr07b01871.t1,-0.019,-5.197,0.003
TcChr07b01878.t1,-0.033,-7.166,0.002
TcChr07b01884.t1,-0.029,-10.799,0.002
TcChr07b01890.t1,-0.044,-2.482,0.011
TcChr07b01897.t1,-0.028,-4.208,0.002
TcChr07b01901.t1,-0.04,-4.13,0.003
TcChr07b01907.t1,-0.074,-10.986,0.006
TcChr07b01913.t1,-0.03,-3.761,0.004
TcChr07b01919.t1,-0.026,-2.25,0.002
TcChr07b01924.t1,-0.089,-55.522,0.009
TcChr07b01929.t1,-0.028,-5.592,0.002
TcChr07b01936.t2,-0.037,-2.272,0.002
TcChr07b01942.t1,-0.048,-1.157,0.004
TcChr07b01947.t1,-0.032,-4.379,0.004
TcChr07b01954.t1,-0.036,-5.558,0.003
TcChr07b01989.t1,-0.01,-5.42,0.005
TcChr07b01990.t1,-0.04,-0.795,0.005
TcChr07b01991.t1,-0.024,-9.261,0.004
TcChr07b01992.t1,-0.055,-45.697,0.007
TcChr07b01993.t1,-0.034,-1.878,0.002
TcChr07b01995.t1,-0.021,-9.988,0.003
TcChr07b01996.t1,-0.028,-4.203,0.002
TcChr07b01997.t1,-0.042,-2.378,0.005
TcChr07b01998.t1,-0.07,-5.037,0.009
TcChr07b01999.t1,-0.056,-2.773,0.006
TcChr07b02001.t1,-0.063,-6.128,0.007
TcChr07b02001.t2,-0.06,-3.872,0.006
TcChr07b02002.t1,-0.051,-2.227,0.011
TcChr07b02003.t1,-0.066,-3.05,0.008
TcChr07b02004.t1,-0.058,-3.372,0.009
TcChr07b02005.t1,-0.045,-4.424,0.007
TcChr07b02007.t1,-0.055,-2.685,0.011
TcChr07b02008.t1,-0.043,-8.41,0.01
TcChr07b02009.t1,-0.04,-4.029,0.005
TcChr07b02010.t1,-0.05,-1.591,0.005
TcChr07b02011.t1,-0.044,-5.285,0.005
TcChr07b02027.t1,-0.024,-6.097,0.002
TcChr07b02028.t1,-0.045,-2.621,0.006
TcChr07b02029.t1,-0.046,-3.266,0.008
TcChr07b02030.t1,-0.052,-0.297,0.007
TcChr07b02031.t1,-0.039,-1.534,0.006
TcChr07b02033.t1,-0.089,-1.389,0.009
TcChr07b02034.t1,-0.058,-1.493,0.009
TcChr07b02035.t1,-0.071,-1.408,0.007
TcChr07b02036.t1,-0.02,-11.139,0.003
TcChr07b02037.t1,-0.067,-7.648,0.005
TcChr07b02038.t2,-0.023,-12.068,0.003
TcChr07b02039.t1,-0.016,-5.907,0.003
TcChr07b02040.t1,-0.042,-1.843,0.003
TcChr07b02041.t1,-0.018,-12.406,0.002
TcChr07b02042.t1,-0.018,-2.842,0.003
TcChr07b02044.t1,-0.021,-3.377,0.002
TcChr07b02045.t1,-0.009,-6.695,0.004
TcChr07b02046.t1,-0.017,-6.718,0.004
TcChr07b02047.t1,-0.073,-2.441,0.007
TcChr07b02048.t1,-0.064,-1.44,0.011
TcChr07b02050.t1,-0.073,-1.478,0.007
TcChr07b02051.t1,-0.087,-1.74,0.013
TcChr07b02052.t1,-0.072,-3.457,0.009
TcChr07b02053.t1,-0.06,-3.729,0.009
TcChr07b02054.t1,-0.07,-3.255,0.012
TcChr07b02056.t1,-0.032,-2.18,0.003
TcChr07b02056.t2,-0.032,-2.2,0.003
TcChr07b02057.t1,-0.069,-3.698,0.007
TcChr07b02057.t2,-0.07,-5.986,0.007
TcChr07b02058.t1,-0.039,-2.15,0.004
TcChr07b02060.t1,-0.028,-14.564,0.002
TcChr07b02060.t2,-0.027,-8.096,0.002
TcChr07b02061.t1,-0.016,-0.667,0.004
TcChr07b02062.t1,-0.046,-26.343,0.006
TcChr07b02063.t1,-0.001,-2.804,0.005
TcChr07b01966.t1,-0.013,-9.048,0.004
TcChr07b01972.t1,-0.031,-6.678,0.002
TcChr07b01978.t1,-0.029,-1.442,0.003
TcChr07b01988.t1,-0.024,-3.747,0.002
TcChr07b01994.t1,-0.025,-2.94,0.002
TcChr07b02000.t1,-0.061,-10.702,0.006
TcChr07b02006.t1,-0.049,-1.691,0.006
TcChr07b02012.t1,-0.063,-5.15,0.006
TcChr07b02018.t1,-0.012,-15.496,0.003
TcChr07b02026.t1,-0.053,-24.383,0.006
TcChr07b02032.t1,-0.081,-3.254,0.017
TcChr07b02038.t1,-0.022,-11.683,0.003
TcChr07b02043.t1,-0.023,-3.64,0.003
TcChr07b02049.t1,-0.076,-1.148,0.012
TcChr07b02055.t1,-0.08,-4.279,0.011
TcChr07b02065.t1,-0.013,-0.951,0.004
TcChr07b02066.t1,-0.006,-1.301,0.003
TcChr07b02067.t1,-0.019,-0.779,0.004
TcChr07b02068.t1,-0.032,-2.662,0.002
TcChr07b02068.t2,-0.032,-2.808,0.002
TcChr07b02069.t1,-0.022,-9.584,0.002
TcChr07b02070.t1,-0.036,-2.232,0.004
TcChr07b02071.t1,-0.049,-3.466,0.005
TcChr07b02072.t1,-0.016,-42.102,0.002
TcChr07b02073.t1,-0.011,-10.427,0.007
TcChr07b02074.t2,-0.044,-3.7,0.002
TcChr07b02075.t1,-0.051,-6.208,0.004
TcChr07b02076.t1,-0.029,-2.264,0.002
TcChr07b02076.t2,-0.03,-2.066,0.002
TcChr07b02076.t3,-0.033,-3.269,0.003
TcChr07b02077.t2,-0.029,-414.865,0.018
TcChr07b02078.t1,-0.059,-7.082,0.006
TcChr07b02079.t1,-0.047,-2.785,0.008
TcChr07b02080.t1,-0.036,-0.93,0.006
TcChr07b02081.t1,-0.032,-1.426,0.004
TcChr07b02083.t1,-0.028,-0.807,0.004
TcChr07b02084.t1,-0.028,-4.963,0.001
TcChr07b02085.t1,-0.057,-6.716,0.011
TcChr07b02086.t1,-0.032,-2.41,0.005
TcChr07b02087.t1,-0.037,-9.109,0.003
TcChr07b02089.t1,-0.031,-6.805,0.004
TcChr07b02090.t1,-0.035,-2.276,0.005
TcChr07b02091.t1,-0.041,-1.827,0.005
TcChr07b02092.t1,-0.044,-5.119,0.004
TcChr07b02093.t1,-0.041,-4.478,0.004
TcChr07b02095.t1,-0.045,-3.638,0.006
TcChr07b02096.t1,-0.027,-2.869,0.006
TcChr07b02097.t1,-0.032,-2.641,0.004
TcChr07b02098.t1,-0.031,-2.086,0.004
TcChr07b02099.t1,-0.028,-2.124,0.005
TcChr07b02115.t1,-0.029,-1.966,0.003
TcChr07b02116.t1,-0.018,-8.262,0.002
TcChr07b02117.t1,-0.061,-1.19,0.007
TcChr07b02118.t1,-0.04,-15.545,0.009
TcChr07b02119.t1,-0.054,-5.257,0.008
TcChr07b02121.t1,-0.05,-1.744,0.006
TcChr07b02122.t1,-0.048,-1.176,0.005
TcChr07b02123.t1,-0.036,-3.603,0.009
TcChr07b02124.t1,-0.066,-1.875,0.008
TcChr07b02125.t1,-0.078,-2.085,0.01
TcChr07b02127.t1,-0.056,-0.866,0.006
TcChr07b02128.t1,-0.043,-27.532,0.015
TcChr07b02129.t1,-0.036,-5.214,0.007
TcChr07b02130.t1,-0.04,-5.149,0.006
TcChr07b02131.t1,-0.044,-2.606,0.004
TcChr07b02133.t1,-0.044,-11.776,0.01
TcChr07b02134.t1,-0.049,-2.874,0.012
TcChr07b02135.t1,-0.045,-10.35,0.007
TcChr07b02136.t1,-0.035,-6.457,0.007
TcChr07b02137.t1,-0.031,-4.599,0.002
TcChr07b02064.t1,-0.001,-2.444,0.005
TcChr07b02068.t3,-0.033,-2.669,0.002
TcChr07b02074.t1,-0.045,-4.387,0.003
TcChr07b02077.t1,-0.036,-405.311,0.013
TcChr07b02082.t1,-0.018,-1.427,0.004
TcChr07b02088.t1,-0.041,-5.064,0.005
TcChr07b02094.t1,-0.052,-3.077,0.006
TcChr07b02100.t1,-0.024,-1.457,0.005
TcChr07b02106.t1,-0.049,-7.276,0.008
TcChr07b02114.t1,-0.031,-1.424,0.004
TcChr07b02120.t1,-0.031,-5.977,0.008
TcChr07b02126.t1,-0.056,-1.135,0.011
TcChr07b02139.t1,-0.055,-1.299,0.007
TcChr07b02140.t1,-0.099,-3.106,0.011
TcChr07b02141.t1,-0.022,-9.251,0.004
TcChr07b02142.t1,-0.024,-7.344,0.004
TcChr07b02143.t1,-0.033,-4.683,0.003
TcChr07b02145.t1,-0.065,-31.675,0.008
TcChr07b02145.t2,-0.07,-21.994,0.007
TcChr07b02146.t1,-0.026,-5.442,0.002
TcChr07b02147.t1,-0.053,-1.101,0.005
TcChr07b02148.t1,-0.057,-0.3,0.006
TcChr07b02150.t1,-0.022,-0.165,0.003
TcChr07b02151.t1,-0.031,-2.207,0.003
TcChr07b02152.t1,-0.015,-12.926,0.004
TcChr07b02153.t1,-0.028,-2.563,0.003
TcChr07b02154.t1,-0.048,-4.964,0.01
TcChr07b02156.t1,-0.05,-0.655,0.007
TcChr07b02157.t1,-0.03,-0.914,0.002
TcChr07b02158.t1,-0.037,-2.244,0.011
TcChr07b02159.t1,-0.057,-2.485,0.006
TcChr07b02160.t1,-0.056,-2.979,0.005
TcChr07b02162.t1,-0.037,-1.967,0.005
TcChr07b02162.t2,-0.032,-2.6,0.004
TcChr07b02163.t1,-0.026,-9.961,0.002
TcChr07b02164.t1,-0.057,-7.087,0.006
TcChr07b02165.t1,-0.028,-4.317,0.001
TcChr07b02165.t3,-0.028,-4.708,0.002
TcChr07b02166.t1,-0.028,-7.966,0.003
TcChr07b02167.t1,-0.024,-3.639,0.001
TcChr07b02168.t1,-0.023,-8.667,0.003
TcChr07b02169.t1,-0.037,-4.059,0.002
TcChr07b02171.t1,-0.021,-6.002,0.002
TcChr07b02172.t1,-0.022,-3.12,0.003
TcChr07b02173.t1,-0.023,-2.465,0.003
TcChr07b02174.t1,-0.056,-1.726,0.008
TcChr07b02175.t1,-0.032,-3.011,0.004
TcChr07b02176.t2,-0.026,-4.551,0.002
TcChr07b02177.t1,-0.016,-2.82,0.002
TcChr07b02178.t1,-0.056,-11.407,0.005
TcChr07b02179.t1,-0.025,-1.278,0.002
TcChr07b02180.t1,-0.053,-0.348,0.006
TcChr07b02182.t1,-0.027,-4.119,0.002
TcChr07b02183.t1,-0.022,-2.015,0.002
TcChr07b02184.t1,-0.032,-7.104,0.002
TcChr07b02185.t1,-0.032,-0.921,0.004
TcChr07b02186.t1,-0.017,-21.355,0.002
TcChr07b02188.t1,-0.024,-2.976,0.002
TcChr07b02189.t1,-0.023,-2.473,0.002
TcChr07b02190.t1,-0.042,-8.88,0.003
TcChr07b02191.t1,-0.024,-3.436,0.003
TcChr07b02192.t1,-0.023,-5.531,0.002
TcChr07b02194.t1,-0.02,-6.936,0.002
TcChr07b02195.t1,-0.018,-5.305,0.002
TcChr07b02196.t1,-0.027,-4.011,0.003
TcChr07b02197.t1,-0.02,-7.098,0.003
TcChr07b02198.t1,-0.068,-9.021,0.005
TcChr07b02138.t1,-0.059,-4.953,0.006
TcChr07b02144.t1,-0.025,-17.598,0.003
TcChr07b02149.t1,-0.027,-4.436,0.003
TcChr07b02155.t1,-0.038,-0.495,0.007
TcChr07b02161.t1,-0.051,-4.4,0.006
TcChr07b02165.t2,-0.028,-4.58,0.002
TcChr07b02170.t1,-0.023,-6.272,0.003
TcChr07b02176.t1,-0.029,-5.753,0.002
TcChr07b02181.t1,-0.024,-4.651,0.002
TcChr07b02187.t1,-0.03,-4.271,0.002
TcChr07b02200.t1,-0.031,-0.108,0.005
TcChr07b02201.t1,-0.021,-10.167,0.002
TcChr07b02202.t1,-0.018,-14.061,0.003
TcChr07b02203.t1,-0.028,-2.483,0.002
TcChr07b02204.t1,-0.031,-0.302,0.004
TcChr07b02204.t3,-0.04,-0.332,0.006
TcChr07b02205.t1,-0.015,-9.936,0.003
TcChr07b02206.t1,-0.017,-3.489,0.002
TcChr07b02207.t1,-0.04,-3.656,0.003
TcChr07b02208.t1,-0.045,-3.687,0.012
TcChr07b02210.t1,-0.028,-8.599,0.002
TcChr07b02211.t1,-0.04,-5.129,0.003
TcChr07b02211.t2,-0.042,-6.25,0.003
TcChr07b02212.t1,-0.041,-4.268,0.002
TcChr07b02213.t1,-0.045,-0.188,0.004
TcChr07b02215.t1,-0.03,-1.575,0.003
TcChr07b02216.t1,-0.028,-4.474,0.003
TcChr07b02217.t1,-0.041,-5.694,0.003
TcChr07b02218.t1,-0.082,-1.042,0.008
TcChr07b02219.t1,-0.029,-7.358,0.004
TcChr07b02220.t1,-0.018,-3.713,0.011
TcChr07b02221.t1,-0.023,-5.096,0.003
TcChr07b02222.t1,-0.073,-36.151,0.006
TcChr07b02223.t1,-0.028,-1.693,0.002
TcChr07b02224.t1,-0.031,-5.663,0.002
TcChr07b02226.t1,-0.074,-9.99,0.006
TcChr07b02227.t1,-0.011,-14.804,0.004
TcChr07b02228.t1,-0.032,-6.936,0.002
TcChr07b02229.t1,-0.017,-13.764,0.003
TcChr07b02230.t1,-0.039,-6.527,0.006
TcChr07b02232.t1,-0.049,-4.782,0.009
TcChr07b02233.t1,-0.054,-0.524,0.006
TcChr07b02234.t1,-0.033,-4.163,0.003
TcChr07b02235.t1,-0.036,-8.151,0.005
TcChr07b02236.t1,-0.017,-8.621,0.003
TcChr07b02238.t1,-0.037,-1.597,0.003
TcChr07b02239.t1,-0.031,-3.112,0.002
TcChr07b02240.t1,-0.031,-2.244,0.003
TcChr07b02241.t1,-0.05,-4.681,0.006
TcChr07b02242.t1,-0.049,-1.112,0.005
TcChr07b02244.t1,-0.059,-0.448,0.008
TcChr07b02245.t1,-0.012,-288.997,0.011
TcChr07b02246.t1,-0.013,-11.54,0.003
TcChr07b02246.t2,-0.024,-11.992,0.003
TcChr07b02247.t1,-0.044,-4.427,0.004
TcChr07b02248.t1,-0.016,-12.942,0.003
TcChr07b02248.t2,-0.015,-13.221,0.002
TcChr07b02249.t1,-0.04,-3.87,0.002
TcChr07b02250.t1,-0.083,-2.863,0.012
TcChr07b02250.t2,-0.084,-3.799,0.011
TcChr07b02252.t1,-0.029,-6.052,0.003
TcChr07b02253.t1,-0.021,-6.055,0.002
TcChr07b02254.t1,-0.02,-6.264,0.002
TcChr07b02255.t1,-0.056,-13.095,0.004
TcChr07b02256.t1,-0.023,-7.106,0.002
TcChr07b02199.t1,-0.046,-6.48,0.004
TcChr07b02204.t2,-0.031,-0.276,0.004
TcChr07b02209.t1,-0.019,-4.277,0.003
TcChr07b02214.t1,-0.037,-1.213,0.002
TcChr07b02219.t2,-0.028,-6.714,0.002
TcChr07b02225.t1,-0.031,-6.008,0.003
TcChr07b02231.t1,-0.055,-17.652,0.005
TcChr07b02237.t1,-0.046,-5.497,0.005
TcChr07b02243.t1,-0.051,-0.906,0.005
TcChr07b02247.t2,-0.044,-2.534,0.003
TcChr07b02285.t1,-0.026,-6.834,0.002
TcChr07b02286.t1,-0.036,-0.281,0.005
TcChr07b02287.t1,-0.065,-6.176,0.009
TcChr07b02288.t1,-0.032,-4.19,0.009
TcChr07b02289.t1,-0.034,-1.377,0.007
TcChr07b02291.t1,-0.066,-2.554,0.01
TcChr07b02292.t1,-0.058,-0.358,0.005
TcChr07b02293.t1,-0.054,-0.579,0.008
TcChr07b02294.t1,-0.037,-3.002,0.002
TcChr07b02295.t1,-0.02,-19.075,0.003
TcChr07b02297.t1,-0.02,-5.481,0.002
TcChr07b02298.t1,-0.026,-1.861,0.003
TcChr07b02299.t1,-0.078,-6.482,0.008
TcChr07b02300.t1,-0.02,-5.259,0.004
TcChr07b02301.t1,-0.034,-9.937,0.003
TcChr07b02303.t1,-0.032,-6.992,0.002
TcChr07b02304.t1,-0.017,-6.204,0.004
TcChr07b02305.t1,-0.025,-4.739,0.003
TcChr07b02306.t1,-0.02,-12.525,0.002
TcChr07b02307.t1,-0.033,-4.745,0.002
TcChr07b02309.t1,-0.015,-1.84,0.005
TcChr07b02310.t1,-0.032,-15.014,0.004
TcChr07b02311.t1,-0.034,-11.621,0.003
TcChr07b02312.t1,-0.05,-0.823,0.006
TcChr07b02313.t1,-0.026,-12.408,0.005
TcChr07b02315.t1,-0.025,-7.994,0.002
TcChr07b02316.t1,-0.024,-4.658,0.002
TcChr07b02317.t1,-0.054,-0.477,0.005
TcChr07b02318.t1,-0.048,-264.378,0.013
TcChr07b02319.t1,-0.047,-0.858,0.006
TcChr07b02321.t1,-0.026,-10.372,0.003
TcChr07b02322.t1,-0.039,-9.601,0.002
TcChr07b02323.t1,-0.028,-4.023,0.002
TcChr07b02324.t1,-0.026,-8.148,0.003
TcChr07b02325.t1,-0.022,-4.001,0.002
TcChr07b02327.t1,-0.023,-3.872,0.002
TcChr07b02327.t2,-0.021,-3.826,0.003
TcChr07b02328.t1,-0.042,-1.207,0.003
TcChr07b02328.t2,-0.04,-1.541,0.003
TcChr07b02329.t1,-0.024,-6.204,0.003
TcChr07b02331.t1,-0.018,-6.101,0.003
TcChr07b02332.t1,-0.036,-11.968,0.003
TcChr07b02333.t1,-0.042,-3.989,0.002
TcChr07b02334.t1,-0.034,-4.742,0.003
TcChr07b02335.t1,0.012,-57.896,0.008
TcChr07b02337.t1,-0.038,-16.458,0.003
TcChr07b02338.t1,-0.043,-2.171,0.004
TcChr07b02339.t1,-0.055,-2.733,0.008
TcChr07b02340.t1,-0.027,-9.843,0.002
TcChr07b02341.t1,-0.039,-2.319,0.004
TcChr07b02343.t1,-0.02,-1.708,0.005
TcChr07b02344.t1,-0.024,-1.032,0.005
TcChr07b02345.t1,-0.01,-1.451,0.004
TcChr07b02345.t2,-0.016,-2.372,0.005
TcChr07b02346.t1,-0.023,-3.667,0.002
TcChr07b02257.t1,-0.028,-5.76,0.001
TcChr07b02262.t2,-0.026,-5.428,0.001
TcChr07b02267.t1,-0.03,-0.415,0.003
TcChr07b02272.t2,-0.023,-9.133,0.002
TcChr07b02278.t1,-0.027,-1.859,0.002
TcChr07b02284.t2,-0.02,-8.294,0.001
TcChr07b02290.t1,-0.047,-1.201,0.013
TcChr07b02296.t1,-0.03,-4.187,0.002
TcChr07b02302.t1,-0.032,-7.79,0.003
TcChr07b02308.t1,-0.036,-8.358,0.002
TcChr07b02314.t1,-0.026,-20.66,0.005
TcChr07b02320.t1,-0.04,-3.665,0.005
TcChr07b02326.t1,-0.021,-3.29,0.002
TcChr07b02330.t1,-0.022,-4.753,0.002
TcChr07b02336.t1,-0.074,-1.423,0.007
TcChr07b02348.t1,-0.017,-1.637,0.004
TcChr07b02349.t1,-0.003,-4.469,0.011
TcChr07b02350.t1,-0.026,-3.017,0.006
TcChr07b02351.t1,-0.019,-1.608,0.005
TcChr07b02352.t1,-0.034,-3.845,0.002
TcChr07b02354.t1,-0.037,-0.385,0.004
TcChr07b02355.t1,-0.039,-4.1,0.002
TcChr07b02355.t2,-0.039,-4.737,0.002
TcChr07b02356.t1,-0.026,-7.43,0.003
TcChr07b02357.t1,-0.028,-4.702,0.002
TcChr07b02359.t1,-0.025,-13.966,0.002
TcChr07b02360.t1,-0.015,-26.796,0.005
TcChr07b02361.t1,-0.031,-1.668,0.005
TcChr07b02362.t1,-0.032,-0.366,0.005
TcChr07b02363.t1,-0.046,-0.459,0.005
TcChr07b02365.t1,-0.01,-20.302,0.002
TcChr07b02366.t1,-0.065,-3.611,0.006
TcChr07b02367.t1,-0.054,-4.574,0.013
TcChr07b02368.t1,-0.031,-4.185,0.007
TcChr07b02369.t1,-0.024,-6.57,0.002
TcChr07b02371.t1,-0.045,-0.749,0.004
TcChr07b02372.t1,-0.055,-13.824,0.004
TcChr07b02373.t1,-0.063,-1.61,0.006
TcChr07b02374.t1,-0.054,-2.508,0.009
TcChr07b02375.t1,-0.042,-0.816,0.004
TcChr07b02377.t1,-0.028,-12.371,0.003
TcChr07b02378.t1,-0.032,-2.963,0.005
TcChr07b02379.t1,-0.045,-13.713,0.004
TcChr07b02380.t1,-0.024,-3.778,0.002
TcChr07b02381.t1,-0.025,-7.662,0.001
TcChr07b02382.t1,-0.041,-1.829,0.003
TcChr07b02384.t1,-0.037,-13.967,0.005
TcChr07b02385.t1,-0.064,-3.239,0.013
TcChr07b02386.t1,-0.014,-1.772,0.006
TcChr07b02386.t2,-0.016,-2.425,0.007
TcChr07b02386.t3,-0.02,-2.529,0.006
TcChr07b02388.t1,-0.037,-3.23,0.002
TcChr07b02389.t1,-0.023,-10.287,0.004
TcChr07b02390.t1,-0.032,-3.423,0.002
TcChr07b02391.t1,-0.039,-5.038,0.004
TcChr07b02392.t1,-0.032,-6.828,0.002
TcChr07b02394.t1,-0.027,-6.809,0.005
TcChr07b02395.t1,-0.074,-2.387,0.007
TcChr07b02396.t1,-0.032,-31.584,0.01
TcChr07b02397.t1,-0.031,-3.557,0.002
TcChr07b02398.t1,-0.034,-0.235,0.003
TcChr07b02400.t1,-0.019,-6.778,0.002
TcChr07b02401.t1,-0.026,-11.225,0.003
TcChr07b02402.t1,-0.016,-3.016,0.004
TcChr07b02403.t1,-0.068,-0.643,0.012
TcChr07b02404.t1,-0.071,-6.656,0.005
TcChr07b02406.t1,-0.052,-1.408,0.007
TcChr07b02407.t1,-0.047,-2.531,0.006
TcChr07b02407.t2,-0.047,-2.449,0.006
TcChr07b02408.t1,-0.054,-1.701,0.007
TcChr07b02409.t1,-0.032,-5.82,0.003
TcChr07b02347.t1,-0.022,-2.282,0.006
TcChr07b02353.t1,-0.078,-35.682,0.008
TcChr07b02358.t1,-0.021,-7.086,0.005
TcChr07b02364.t1,-0.053,-5.595,0.007
TcChr07b02370.t1,-0.042,-2.307,0.003
TcChr07b02376.t1,-0.015,-23.213,0.002
TcChr07b02383.t1,-0.032,-11.811,0.003
TcChr07b02387.t1,-0.025,-8.313,0.002
TcChr07b02393.t1,-0.036,-0.156,0.003
TcChr07b02399.t1,-0.07,-4.217,0.006
TcChr07b02411.t1,-0.033,-3.825,0.005
TcChr07b02412.t1,-0.016,-4.294,0.003
TcChr07b02412.t2,-0.017,-3.784,0.003
TcChr07b02413.t1,-0.036,-1.237,0.006
TcChr07b02414.t1,-0.026,-9.382,0.001
TcChr07b02416.t1,-0.045,-0.505,0.007
TcChr07b02417.t1,-0.031,-1.489,0.003
TcChr07b02418.t1,-0.023,-7.053,0.002
TcChr07b02419.t1,-0.019,-11.051,0.003
TcChr07b02420.t1,-0.021,-8.869,0.002
TcChr07b02422.t1,-0.08,-0.205,0.011
